fX,fY,authority,BOR,panel
8,4,Barking and Dagenham,BAR,32
4,6,Barnet,BRN,12
8,3,Bexley,BXL,40
3,5,Brent,BRT,19
6,2,Bromley,BRM,46
4,5,Camden,CMD,20
5,2,Croydon,CRD,45
2,5,Ealing,ELG,18
5,7,Enfield,ENF,5
7,3,Greenwich,GRN,39
6,5,Hackney,HCK,22
2,4,Hammersmith and Fulham,HMS,26
5,6,Haringey,HGY,13
3,6,Harrow,HRW,11
8,5,Havering,HVG,24
1,5,Hillingdon,HDN,17
1,4,Hounslow,HNS,25
5,5,Islington,ISL,21
3,4,Kensington and Chelsea,KNS,27
3,2,Kingston upon Thames,KNG,43
4,3,Lambeth,LAM,36
6,3,Lewisham,LSH,38
4,2,Merton,MRT,44
7,4,Newham,NWM,31
7,5,Redbridge,RDB,23
2,3,Richmond upon Thames,RCH,34
5,3,Southwark,SWR,37
4,1,Sutton,STN,52
6,4,Tower Hamlets,TOW,30
6,6,Waltham Forest,WTH,14
3,3,Wandsworth,WNS,35
4,4,Westminster,WST,28
5,4,City of London,CTY,29
